ip,up,upt,dn,dnt
201.200,131,1375472895.111,0,-1
192.71,371,1375472898.714,135,1375472898.714
204.93,4326,1375473195.501,81331,1375473195.501
46.230,43,1375472895.111,0,-1
194.103,1331,1375472916.359,1721,1375472919.777
50.16,309805,1375474008.14,55440,1375473972.50
23.23,1304586,1375474314.17,44322,1375474641.711
122.169,43,1375472895.111,18,1375473606.20
98.77,822,1375473699.389,713,1375473699.389
98.136,1229,1375474017.1386,3163,1375472898.714
98.202,0,-1,466,1375473075.296
65.54,5731,1375473255.276,108042,1375473255.276
128.59,0,-1,475,1375472895.111
184.105,426,1375473996.397,326,1375473996.397
216.52,7984,1375474566.138,26690,1375473108.1408
205.128,23456,1375474425.13,372408,1375474425.13
178.74,432,1375473348.7,672,1375473348.7
77.172,87,1375472901.868,203,1375472901.868
8.27,10646,1375474845.804,129150,1375474845.804
96.47,54,1375472898.714,56,1375472898.714
79.225,474,1375472961.588,484,1375472961.588
224.0,649,1375473453.844,0,-1
85.246,43,1375472898.714,0,-1
17.135,35223,1375474395.523,4317,1375473876.658
67.195,3143,1375473144.858,13442,1375475229.2
134.170,41411,1375474212.1824,46946,1375473738.135
66.196,64539,1375474734.364,7909,1375473543.2414
204.140,0,-1,25,1375472898.714
111.90,43,1375472901.868,98,1375472901.868
66.119,1637,1375473612.600,4282,1375474701.16
176.32,538175,1375473615.131,669173,1375474185.655
65.49,25,1375472901.868,25,1375472901.868
182.131,43,1375472901.868,101,1375472901.868
75.79,43,1375472901.868,105,1375472901.868
5.79,2052,1375474347.7768,72612,1375474347.7768
78.242,43,1375472901.868,0,-1
83.155,43,1375472901.868,0,-1
77.204,43,1375472901.868,0,-1
72.21,29180,1375472976.247,209163,1375475238.24
211.151,204,1375473333.83,125,1375473333.83
83.140,4221,1375472901.868,7039,1375472904.1118
173.244,25,1375472901.868,25,1375472901.868
86.46,43,1375472901.868,101,1375472901.868
178.126,87,1375472901.868,98,1375473429.7170
216.222,2377,1375473612.600,45058,1375473612.600
70.2,320,1375474833.1684,64,1375474845.804
67.23,1658,1375473276.237323,12843,1375473279.634
50.19,7529,1375474089.34,123844,1375474659.307
195.242,267,1375472904.1118,214,1375473396.129
209.141,0,-1,25,1375472901.868
91.189,16688,1375474875.63,785250,1375474641.711
98.124,5385,1375474020.883,15513,1375474782.164
80.110,174,1375473294.349,0,-1
173.14,21617,1375475136.1331,543784,1375474305.84
64.94,4572,1375474296.403,8317,1375475199.614
85.235,901,1375474218.551,1968,1375472907.88
209.234,4113,1375475235.84,4702,1375475262.1001
167.8,2802,1375473618.59,12785,1375473624.773
216.39,5284,1375473018.576,5062,1375473018.576
64.188,1107,1375475265.870,3408,1375473600.3442
201.37,43,1375472904.1118,105,1375472904.1118
124.129,43,1375472904.1118,108,1375472907.88
94.75,216,1375473657.259,217,1375473657.259
37.214,43,1375472904.1118,53,1375472904.1118
192.5,26084,1375475280.373,211440,1375475280.373
209.20,320,1375472904.1118,2006,1375472904.1118
208.54,468,1375473801.1065,1631,1375473801.1065
199.168,522,1375475322.1119,4149,1375472904.1118
46.137,3623,1375475280.373,64333,1375475280.373
116.232,43,1375472907.88,0,-1
212.16,1240,1375472907.88,4788,1375472910.60
186.78,43,1375472907.88,0,-1
119.184,43,1375472907.88,98,1375472907.88
23.7,18115,1375474095.329,170920,1375473810.69
17.171,25286,1375473519.660,3499,1375473519.660
119.247,43,1375472907.88,0,-1
66.150,11621,1375473996.397,16346,1375474293.0
68.142,16485,1375474761.0,117724,1375474761.0
186.53,43,1375472907.88,105,1375472907.88
178.83,43,1375472907.88,105,1375474899.1520
38.229,12279,1375473942.435,148294,1375473942.435
125.163,59,1375473669.49,0,-1
112.198,43,1375472907.88,0,-1
178.149,43,1375472907.88,0,-1
37.19,43,1375472907.88,0,-1
76.94,43,1375472907.88,0,-1
176.110,43,1375472907.88,0,-1
69.156,43,1375472907.88,101,1375472907.88
64.147,54,1375474533.149,69,1375472910.60
50.18,22841,1375473039.116,17231,1375473009.365
123.190,43,1375472907.88,0,-1
174.35,24931,1375475337.387,602009,1375475358.320
8.8,1747,1375475319.3677,3565,1375475319.3677
38.127,522,1375472910.60,1470,1375472910.60
46.253,1437,1375472910.60,5561,1375472910.60
12.129,3850,1375474587.396,8799,1375474917.4227
118.173,43,1375472910.60,0,-1
130.126,25,1375472910.60,25,1375472910.60
202.108,3455,1375474497.31,126854,1375474497.31
4.28,79,1375474293.0,62,1375473615.131
54.235,13760,1375473453.844,20157,1375474938.3068
188.175,43,1375472910.60,105,1375472910.60
95.23,849,1375475400.80,498,1375475322.1119
86.170,43,1375472910.60,101,1375472910.60
176.252,43,1375472910.60,101,1375472910.60
67.2,43,1375472910.60,105,1375472910.60
177.98,87,1375473270.1573,105,1375472910.60
